bvid,title,top_words,top_scores
BV1dB4y1878T,我槽尼马，我刚提的新车！你怎么开的车,中学 | 运动,0.7684 | 0.64
BV1fK411y7Vv,压力面试：你能胜任这岗位吗？ 如何拿到更高薪资的Offer？,运营 | 规划 | 要求 | 符合 | 经验 | 能力 | 机会 | 那种 | 体育 | 便是,0.4411 | 0.3021 | 0.261 | 0.2361 | 0.2167 | 0.1805 | 0.1751 | 0.1573 | 0.1557 | 0.147
BV19h1BByEiG,摆烂扶贫全集,父亲 | 看着 | 保安 | 同学 | 这话 | 投资 | 医院 | 听到 | 失败 | 公司,0.2677 | 0.1666 | 0.1656 | 0.1583 | 0.1475 | 0.1442 | 0.1386 | 0.1352 | 0.1339 | 0.1256
BV1A2mfYYEEY,学姐kim回归，大女主爽文照进现实！04实习生踢馆压力拉满！ #令人心动的offer6 #朱绰盈,離開 | 我來 | 一局 | 還會 | 認識 | 好奇 | 相信 | 最大,0.9809 | 0.1268 | 0.077 | 0.0643 | 0.0634 | 0.0609 | 0.0443 | 0.0436
BV1A8Vdz7Ek5,艾特出能挑战这些动作的人,策略,1.0
BV1N6xKz6EK3,有钱能使鬼推磨？这是真的！,游戏 | 好人 | 討厭 | 連續 | 越來 | 文字 | 我家 | 小孩 | 不住 | 下面,0.4468 | 0.3973 | 0.298 | 0.2493 | 0.2157 | 0.1533 | 0.1438 | 0.1349 | 0.1323 | 0.1099
BV1T6oXY1ECk,拖车咱就找老登，一拖一个不吱声,半个 | 干什么 | 下车 | 坐下 | 手上 | 被困 | 来点 | 风景 | 别忘了 | 太好了,0.3686 | 0.3383 | 0.3241 | 0.2668 | 0.2457 | 0.1677 | 0.162 | 0.153 | 0.1494 | 0.1461
BV1oU4y1q788,月入过万智力障碍小哥：我不是你想象的那种智障,制装 | 同学 | 无人机 | 脑子 | 去过 | 问题 | 外卖 | 服务员 | 口罩 | 快递,0.3286 | 0.3141 | 0.2282 | 0.2178 | 0.1643 | 0.1457 | 0.1402 | 0.1095 | 0.1058 | 0.1058
BV12UDbY8Es6,我克隆了无数个躺平BOY来组成克隆大军！ROBLOX,爆炸 | 不會 | 裝備 | 速度 | 一下 | 客人 | 传终 | 旁邊 | 外面 | 出去,0.3035 | 0.2625 | 0.2472 | 0.2334 | 0.2279 | 0.2066 | 0.1648 | 0.1565 | 0.1432 | 0.1416
BV1Hr421376M,六级压力面试！你能撑到几级？,人力 | 剛剛 | 成績 | 確定 | 提起 | 學校 | 表現 | 危險 | 公共 | 不起,0.4028 | 0.3395 | 0.2367 | 0.2236 | 0.2182 | 0.2134 | 0.205 | 0.205 | 0.198 | 0.1919
BV14u411L7Af,队长机摆烂？没道理的，来点铠甲勇士的超模震撼！,小天 | 后面 | 欢迎 | 只能 | 技能 | 准备 | 金刚 | 一打 | 战斗 | 赶紧,0.5628 | 0.2451 | 0.2238 | 0.1636 | 0.1413 | 0.1081 | 0.1081 | 0.1044 | 0.1013 | 0.1
BV1dc41167vb,⚡摆烂王VS压力怪⚡,玩儿 | 哥们 | 以前 | 武器 | 当作 | 就别,0.5778 | 0.5625 | 0.4504 | 0.2989 | 0.2103 | 0.1156
BV1rm4y1p7PD,无处不在的行业内卷，面食届奇葩面食,高考 | 瞬间 | 难道 | 那一刻 | 时期 | 想不到 | 吸收 | 不看 | 五年 | 相似,0.415 | 0.3573 | 0.3498 | 0.2248 | 0.2248 | 0.2248 | 0.2199 | 0.2154 | 0.2113 | 0.204
BV1aA411t7c5,【全弹幕装填】官号删前原片实况！马云“商业本身就是最大的公益”演讲,阿里 | 創造 | 無論 | 阿里巴巴 | 疫情 | 商業 | 危機 | 價值 | 公益 | 無數,0.6742 | 0.2677 | 0.197 | 0.1924 | 0.1782 | 0.1731 | 0.1685 | 0.1685 | 0.1609 | 0.1338
BV1pCuxzHEgT,用一顿砂锅美食治愈职场压力,分得 | 十七 | 小龙 | 我放 | 設計 | 打開 | 解脱 | 反正 | 演唱 | 記住,0.4715 | 0.2915 | 0.2829 | 0.2754 | 0.2364 | 0.2211 | 0.1572 | 0.1541 | 0.1509 | 0.1509
BV15U4y167jt,中国企业，向国外输出996,员工 | 外国 | 中国 | 加班 | 国外 | 企业 | 公司 | 法律 | 加班费 | 德国,0.4943 | 0.3905 | 0.3674 | 0.2977 | 0.251 | 0.2057 | 0.2048 | 0.1498 | 0.1449 | 0.1406
BV1MhNae6EHq,导演回答申公豹为什么结巴:职场压力，真的满满都是细节,解放 | 謝謝 | 說話 | 設計 | 記得 | 生成 | 當時 | 其實 | 推演 | 部門,0.4106 | 0.329 | 0.2821 | 0.2287 | 0.2254 | 0.2223 | 0.2223 | 0.1656 | 0.146 | 0.146
BV1oB4y1u7Lo,《 9 9 6 ？福 报 ？呸 ！恶 心 ！》,十点 | 几点 | 下班 | 不准 | 原工 | 公司 | 休息 | 老板 | 辛苦 | 睡觉,0.7337 | 0.2904 | 0.2817 | 0.2001 | 0.1933 | 0.1518 | 0.1377 | 0.1198 | 0.0977 | 0.0924
BV1pK411m7yN,我也不想上学，但我的老师是初音未来哎,美女 | 小孩 | 一碗 | 学校 | 照片 | 未来 | 好吃 | 美人 | 好友 | 昨晚,0.3461 | 0.2698 | 0.2017 | 0.1875 | 0.1781 | 0.1765 | 0.161 | 0.1325 | 0.1325 | 0.128
BV1G54y167xQ,【JUMP】大学生够惨了，别加压力了。,大学生 | 问题 | 解决 | 大学 | 资格 | 普通人 | 高考 | 学生 | 教育 | 正确,0.4003 | 0.3547 | 0.3406 | 0.2477 | 0.2022 | 0.1914 | 0.1697 | 0.1662 | 0.1605 | 0.1179
BV1xV4y1b7rH,不是你抗压能力差，而是社会压力大！别再逼自己了，有毒的积极性只会让你“越努力越焦虑”！,努力 | 压力 | 社会 | 交律 | 方向 | 总是 | 一边 | 失败 | 有毒 | 自责,0.6936 | 0.1527 | 0.1458 | 0.1384 | 0.1257 | 0.1215 | 0.1215 | 0.1193 | 0.1181 | 0.1141
BV1rM4y1M7GS,第10期（上）：辣椒也内卷？围观全球吃辣高阶段位【非正式会谈第6.5季】,養樂多 | 厲害 | 非洲 | 播出 | 看過 | 謝謝 | 你好 | 六點 | 高速 | 開心,0.495 | 0.4729 | 0.2168 | 0.2069 | 0.2027 | 0.1785 | 0.1663 | 0.1584 | 0.1351 | 0.1326
BV1Xz421z7Ys,我克隆了无数个躺平BOY来占领游乐场！ROBLOX,一個 | 舞蹈 | 爆炸 | 怎麼 | 升級 | 購買 | 小女孩 | 不會 | 一下 | 客人,0.4828 | 0.3241 | 0.2335 | 0.1864 | 0.1783 | 0.1776 | 0.1716 | 0.1571 | 0.1535 | 0.1391
BV1Q84y1S7Gk,来深圳打工后，我才知道：“人不仅仅要活着…”,我媽 | 一個 | 我媽媽 | 回家 | 同時 | 不過 | 當然 | 袋子 | 我覺 | 不停,0.4027 | 0.3698 | 0.2237 | 0.1845 | 0.1488 | 0.1392 | 0.138 | 0.1342 | 0.1259 | 0.1134
BV13DJVzsEkK,沙漏腰3.0进阶｜30分钟站立无跑跳核心训练｜髋灵活、胸椎灵活提升,吸氣 | 動作 | 繼續 | 咱們 | 呼吸 | 呼氣 | 注意 | 一個 | 重新 | 訓練,0.5528 | 0.3031 | 0.205 | 0.188 | 0.1829 | 0.1645 | 0.1638 | 0.161 | 0.151 | 0.1382
BV1Kf421B7Su,现在医疗不同往日，只有主任有 KPI压力，一线干活都是能躲就躲的，你不能怪别人躲，换你一样躲，但反过来想，一线没有 KPI压力，但是主任有啊。,患者 | 解决 | 抽出 | 问题 | 排除 | 职业 | 如果说 | 领导 | 建议 | 明显,0.2752 | 0.227 | 0.215 | 0.2136 | 0.1696 | 0.1668 | 0.1616 | 0.1477 | 0.1362 | 0.1338
BV1YM1LYXEiu,给中年失业者的自救建议，不破不立！,能力 | 一個 | 成長 | 記住 | 學習 | 那麼 | 打工 | 公司 | 創業 | 下來,0.2603 | 0.2317 | 0.207 | 0.186 | 0.1724 | 0.1603 | 0.1507 | 0.1481 | 0.1453 | 0.1397
BV1R94y1w74n,在世界500强的顶级公司上班，却丝毫没任何的压力，有多潇洒？,公司 | 壓力 | 工作 | 強的 | 這才 | 幾點 | 舒服 | 公室 | 回到 | 上班,0.3486 | 0.2267 | 0.2188 | 0.1702 | 0.1595 | 0.1553 | 0.1529 | 0.1482 | 0.1477 | 0.143
BV1Tm4y1U7CY,爆款编剧炮轰996：上8小时班是人的极限了,八角 | 女性 | 社会 | 不敢 | 睡觉 | 公务员 | 希望 | 发生 | 有所 | 结婚,0.3206 | 0.3076 | 0.2048 | 0.1824 | 0.1724 | 0.1603 | 0.1596 | 0.1421 | 0.1364 | 0.1319
BV1xr421V7oN,上节目摆烂带娃，女儿哭了我也跟着哭【P5】,媽媽 | 女兒 | 怎麼 | 言言 | 恐懼 | 一個 | 眼眼 | 演演 | 那麼 | 不會,0.2138 | 0.2056 | 0.1973 | 0.1958 | 0.1762 | 0.1704 | 0.1632 | 0.1567 | 0.144 | 0.1386
BV1St4y1B75X,关于我从年薪三十万996大厂离职变成废物这档事,离职 | 工作 | 黑人 | 分到 | 感觉 | 时间 | 那种 | 动机 | 周六 | 公司,0.4649 | 0.2185 | 0.2066 | 0.181 | 0.1723 | 0.1471 | 0.1452 | 0.1437 | 0.1357 | 0.1354
BV1ua411U7Hu,我昨天晚上到底把充电器插到了哪里,送給 | 媽媽 | 水中 | 天空 | 謝謝 | 放下 | 限制,0.4559 | 0.4026 | 0.3879 | 0.3643 | 0.3545 | 0.35 | 0.3143
BV1Hz421B7dy,富二代摆烂记1,二代 | 有什麼 | 怎麼 | 好看 | 保持 | 有個 | 謝謝 | 身份 | 拿到 | 一份,0.3854 | 0.3065 | 0.2697 | 0.2567 | 0.2436 | 0.193 | 0.193 | 0.1744 | 0.1573 | 0.1517
BV1ag4y1f7Vf,小伙在家改造氛围感卧室，老婆实现24小时躺平自由,老婆 | 智能 | 经常 | 生日 | 换成 | 这款 | 打游戏 | 床上 | 模式 | 舒服,0.5871 | 0.4657 | 0.2277 | 0.1645 | 0.1613 | 0.1613 | 0.1585 | 0.1585 | 0.1199 | 0.1155
BV1MV4y1N797,【三悦有了新工作】打工人突然的情绪崩溃其实都是一次次委屈的累积,剩下 | 不错,0.7305 | 0.6829
BV1M19iY4EjT,66岁的姨无人能挡,願意 | 母亲 | 往前 | 放到 | 前面 | 怎麼 | 整个 | 原因 | 不想,0.429 | 0.4213 | 0.4213 | 0.3515 | 0.2736 | 0.269 | 0.2661 | 0.2477 | 0.2408
BV1qAB4YTEEM,遭遇手榴弹怎么办？ 躺平双脚护头颈，跳入水中更避险！,爆炸 | 年度 | 新人 | 释放 | 迅速 | 瞬间 | 保护 | 安全 | 产生 | 身体,0.3918 | 0.2175 | 0.2033 | 0.1959 | 0.1746 | 0.1687 | 0.1618 | 0.1573 | 0.1407 | 0.1295
BV1ju411D749,“觉得”工作不快乐，想要辞职，结果...,工作 | 帮助 | 公司 | 时间 | 问题 | 抱怨 | 领导 | 分享 | 状态 | 频道,0.3965 | 0.2416 | 0.2327 | 0.2288 | 0.2268 | 0.2024 | 0.183 | 0.1781 | 0.1689 | 0.1664
BV1gEGQzLErX,广东仔十来年只干日结，保安，快递，搬货,那種 | 一個 | 大神 | 那邊 | 我現 | 不會 | 特別 | 怎麼 | 沒什麼 | 保安,0.3493 | 0.2937 | 0.1924 | 0.1759 | 0.1743 | 0.1726 | 0.1599 | 0.1512 | 0.1504 | 0.1441
BV1Ui4y1U7LD,成都街边15元自助餐，20道菜让“打工人”吃饱又吃好，85岁老人吃饭不要钱,隨便 | 晚餐 | 一口 | 一家 | 十五 | 多多 | 特別 | 好吃 | 程度 | 一年,0.2968 | 0.2476 | 0.2319 | 0.218 | 0.2107 | 0.1814 | 0.1707 | 0.1558 | 0.1535 | 0.1444
BV14e4y1s7Pq,学不动了怎么办！如何把自己从厌学情绪中救出来，停止摆烂！ ft. 我的厌学故事和自救 把专注力重新聚起来,情绪 | 当时 | 练习 | 东西 | 感觉 | 专注 | 想法 | 能力 | 正面 | 同学,0.3475 | 0.2967 | 0.2589 | 0.2412 | 0.1891 | 0.1492 | 0.1482 | 0.1313 | 0.1312 | 0.1281
BV114421Z773,#论销售的最高境界 #金牌销售 #销售从业者如何缓解压力调整心态,打击 | 大哥 | 过来 | 你别 | 下班 | 女人 | 危险 | 黄金 | 一本 | 职业,0.5601 | 0.2756 | 0.2451 | 0.2148 | 0.194 | 0.1862 | 0.1862 | 0.1432 | 0.1346 | 0.1299
BV12P4y1r7Kx,&quot;完蛋了&quot;放在嘴上的韩国人 躺的很平又摆烂,韩国 | 爱情 | 热血 | 算了 | 世界 | 文化 | 对抗 | 幸福 | 出个 | 老实,0.7455 | 0.1662 | 0.1326 | 0.1248 | 0.1218 | 0.1216 | 0.1193 | 0.1031 | 0.0994 | 0.0895
BV1aU2rB9EbM,发工资了去山姆边吃边逛在做一个无敌大餐庆祝一下,来来来 | 好吃 | 味道 | 再来 | 下入 | 牛奶 | 几天 | 口味 | 毛毛 | 一锅,0.2751 | 0.2529 | 0.2529 | 0.237 | 0.1773 | 0.1726 | 0.1572 | 0.1554 | 0.1513 | 0.1462
BV1Ep4y1r7zf,当你撑不住了，一定要进来看一下！,看得 | 失敗 | 光明 | 隨著 | 照顧 | 會給 | 未來 | 普通 | 吃饱 | 一種,0.5498 | 0.3457 | 0.305 | 0.2967 | 0.2526 | 0.244 | 0.2187 | 0.2162 | 0.2155 | 0.1652
BV1Kv4y167AY,冰淇淋内卷，你吃过钻石冰淇淋嘛？,有過 | 身邊 | 放心 | 小孩 | 心情 | 一個,0.5423 | 0.4614 | 0.3849 | 0.3811 | 0.3672 | 0.2544
BV1GJ8MzqE1p,两年前这部动画火爆出圈，打工人集体破防，山的外面还是山，我们什么时候可以出去看一看,大王 | 主要 | 白毛 | 天地 | 心底 | 团队 | 看似 | 妈妈 | 听到 | 大人,0.4985 | 0.2283 | 0.2014 | 0.1451 | 0.1401 | 0.14 | 0.136 | 0.1243 | 0.1184 | 0.1153
BV1mW421R7LD,当同桌开始内卷！,學習 | 怎麼 | 不学 | 学习 | 資料 | 往往 | 連上 | 吸血 | 高校 | 学家,0.391 | 0.3458 | 0.2746 | 0.2287 | 0.2249 | 0.198 | 0.1318 | 0.1273 | 0.1235 | 0.1235
BV1ya411c7Da,一次性上班,突破,1.0
BV1fb421E7pE,呱呱和白雪又开始内卷了...,年纪 | 花花 | 开学 | 干什么 | 学学 | 我会 | 成绩 | 第一 | 学习 | 第二,0.505 | 0.4478 | 0.2095 | 0.2029 | 0.2012 | 0.1807 | 0.1752 | 0.1404 | 0.1163 | 0.1163
BV1su411Y73f,【深岩银河】萌新矿工996超详细入门指南，帮助你快速入坑  上,遊戲 | 武器 | 職業 | 傷害 | 一個 | 這些 | 等級 | 模組 | 一下 | 推薦,0.4956 | 0.3792 | 0.2366 | 0.1908 | 0.1566 | 0.1561 | 0.1415 | 0.1415 | 0.1258 | 0.1218
BV1Dm4y1N778,【深度科普】长期摆烂，如何恢复体能？,運動 | 神經 | 心跳 | 呼吸 | 系統 | 跑步 | 停下 | 提升 | 方法 | 狀態,0.5275 | 0.4271 | 0.3097 | 0.255 | 0.2074 | 0.1758 | 0.1644 | 0.1339 | 0.1329 | 0.1063
BV1iz421o7E9,上节目摆烂带娃，女儿哭了我也跟着哭【P2】,女兒 | 老實 | 演演 | 處理 | 老爸 | 難道 | 互相 | 玩具 | 教育 | 啊啊啊,0.3382 | 0.2819 | 0.2706 | 0.1766 | 0.1691 | 0.1646 | 0.151 | 0.151 | 0.1402 | 0.1353
BV1dz4y1a7n6,深坑的奇葩小夜灯！真的，谁买我笑话谁！,實際上 | 價值 | 便是 | 一個 | 大幅 | 價格 | 下方 | 系列 | 剛剛 | 好看,0.3332 | 0.3244 | 0.3244 | 0.3222 | 0.3033 | 0.2975 | 0.2744 | 0.2604 | 0.2463 | 0.2368
BV14T411g7g3,「片场日记」铁柱大导演鲨疯了！带着满身的才华掀起广告圈内卷,回来 | 一圈 | 妈妈 | 谢谢 | 东西,0.8233 | 0.3411 | 0.3029 | 0.2802 | 0.1885
BV1hQ4y1h7zP,青铜误入王者局（二），菜鸟误入大神局成为王者队伍走向巅峰的绊脚石，骑行界内卷很严重,多公里 | 上海 | 上线 | 公里 | 实力 | 水平 | 旁边 | 看起来 | 队友 | 总算,0.2802 | 0.2485 | 0.2174 | 0.2174 | 0.2107 | 0.1845 | 0.1826 | 0.1775 | 0.1733 | 0.1636
BV19dpSzqEhp,现在的应届生求职压力大的不是一点点啊！,家里 | 对不起 | 投资 | 抱歉 | 正在 | 内容 | 认为 | 当时 | 方式 | 共产,0.3218 | 0.3032 | 0.2373 | 0.2325 | 0.2234 | 0.1782 | 0.1737 | 0.1609 | 0.1385 | 0.1316
BV1Rc411H7wW,“天啊，他才两岁啊！”苏州书香世家的孩子，从出生就开始内卷…,改造 | 空間 | 客廳 | 同步 | 房間 | 老師 | 房子 | 設計師 | 容量 | 功能,0.3498 | 0.2167 | 0.1944 | 0.1944 | 0.1662 | 0.1562 | 0.156 | 0.1296 | 0.1296 | 0.1255
BV1bN4y1d761,李隆基是怎么一步步躺平的？,太子 | 天子 | 关门 | 皇帝 | 全力 | 百姓 | 时期 | 老百姓 | 公众 | 一身,0.3594 | 0.301 | 0.2889 | 0.2636 | 0.2321 | 0.1506 | 0.147 | 0.1438 | 0.1196 | 0.1078
BV1eN41197of,“你是小丑吗？Cheems”,保重 | 第五 | 从事 | 我給 | 辦法 | 我來 | 忘记 | 立刻 | 根據 | 回答,0.33 | 0.3093 | 0.3011 | 0.2624 | 0.2547 | 0.2547 | 0.2547 | 0.2512 | 0.2478 | 0.231
BV1gCw3z6EG3,当你工作压力很大又不会抽烟时,加油,1.0
BV1q84y1b7Bo,第一批回村的猫咪，有的血脉觉醒，有的早已开始摆烂,我來 | 擺爛 | 一開始 | 各種 | 胖子 | 老鼠 | 新鮮 | 窗外 | 一個 | 桌上,0.5936 | 0.2972 | 0.2624 | 0.2088 | 0.1538 | 0.1538 | 0.1486 | 0.1442 | 0.1394 | 0.1339
BV1H44y117f7,“cheems，你被生活打倒了吗？”,甚麼 | 一個 | 寂寞 | 好友 | 幸好 | 確定 | 你們 | 看過 | 其實 | 歡迎,0.3471 | 0.2265 | 0.1735 | 0.1666 | 0.152 | 0.152 | 0.1475 | 0.1421 | 0.1417 | 0.1369
BV1QA411D7DT,在老家盖一座小别墅需要多少钱？,房子 | 旁边 | 二楼 | 餐厅 | 下来 | 一共 | 粉丝 | 大概 | 参观 | 开箱,0.67 | 0.2177 | 0.2065 | 0.1789 | 0.1612 | 0.1585 | 0.153 | 0.1204 | 0.1069 | 0.1032
BV12s4y1c7zt,假如面试都说真话,六個 | 公子 | 你們 | 過來 | 北上 | 二十年 | 三人 | 新生 | 千萬 | 眼裡,0.4846 | 0.3872 | 0.2962 | 0.2512 | 0.1742 | 0.1615 | 0.1615 | 0.1567 | 0.1567 | 0.1567
BV1FY41187MM,黄金矿工也能内卷？吸铁钩摇摆钩还有核动力连发钩！网友：看笑了,黄金 | 大神 | 玩得 | 人类 | 底下 | 几十 | 翻身 | 口子 | 这颗 | 体面,0.4101 | 0.4101 | 0.2734 | 0.2249 | 0.2223 | 0.1535 | 0.1483 | 0.1483 | 0.1483 | 0.1483
BV1RN4y117Lo,一个人一台电脑就能过上躺平人生？不想上班的有救了！,网站 | 玩玩 | 老外 | 设计 | 照片 | 马斯克 | 几千 | 店家 | 上传 | 几个,0.5379 | 0.3358 | 0.2571 | 0.1763 | 0.1729 | 0.1339 | 0.1286 | 0.1242 | 0.1242 | 0.1236
BV1c34y1a7cG,5毛一袋雪莲！这些“躺平雪糕”吊打雪糕刺客！！！,那种 | 味道 | 水果 | 夏天 | 绝对 | 好吃 | 五毛 | 一员 | 后来 | 统一,0.3713 | 0.37 | 0.2711 | 0.2083 | 0.1924 | 0.185 | 0.1585 | 0.1427 | 0.142 | 0.1325
BV1jVJczwEHw,如果有吃有喝还能躺着玩手机，你能坚持多久？冠军可得1000欧元？！,直播 | 起來 | 活動 | 超過 | 咱們 | 點鐘 | 上車 | 玩手 | 資本 | 糖果,0.3281 | 0.2155 | 0.1735 | 0.1586 | 0.1546 | 0.1466 | 0.1408 | 0.1408 | 0.136 | 0.136
BV1WPsqeAEBs,学姐kim回归，大女主爽文照进现实！04实习生踢馆压力拉满！,你們 | 謝謝 | 终于 | 观察 | 四個 | 我来 | 成功 | 生生 | 兩位 | 超大,0.3306 | 0.3154 | 0.2479 | 0.2343 | 0.2301 | 0.1882 | 0.143 | 0.14 | 0.14 | 0.1312
BV1864y187PN,出生人口暴跌，别再内卷了,工資 | 社會 | 行業 | 下降 | 擴大 | 整個 | 一個 | 升級 | 越來 | 公子,0.2853 | 0.2615 | 0.2297 | 0.1852 | 0.1777 | 0.1688 | 0.1674 | 0.1665 | 0.1646 | 0.1536
BV14w56z5EUj,国家给了5个硬核网站，每个都关乎终身大事！,情況 | 網站 | 法律 | 提前 | 是否 | 瞭解 | 一二 | 對象 | 記錄 | 夫妻,0.3841 | 0.2884 | 0.2881 | 0.2258 | 0.1997 | 0.1502 | 0.1442 | 0.1442 | 0.1393 | 0.1393
BV1nz4y1k7da,【令人心动的offer2】新实习生来报道！清华学霸扎堆，华尔街顶级律所实习，学历天花板要来了吗？哈哈哈哈哈难怪实习生们压力倍增,畢業 | 本科 | 法院 | 我覺 | 律師 | 贏了 | 大學 | 成熟 | 學習 | 一個,0.3838 | 0.3503 | 0.3283 | 0.2566 | 0.2335 | 0.2256 | 0.2079 | 0.1777 | 0.1732 | 0.1587
BV1W8411F7GX,躺平减肥绝不少吃多动！2个月时间我浴火重生了~,听见 | 白天 | 一路 | 不见 | 神奇 | 不知 | 时间 | 考虑 | 明天 | 过去,0.3128 | 0.2845 | 0.2705 | 0.1848 | 0.1848 | 0.163 | 0.1584 | 0.1538 | 0.1526 | 0.1353
BV1m3q3BNELT,木筏僵尸求生：飞机意外坠落，周围全是僵尸！,强大 | 升级 | 人口 | 攻击 | 五个 | 植物 | 更加 | 主机 | 终于 | 下期,0.2504 | 0.1935 | 0.1852 | 0.1805 | 0.1782 | 0.1521 | 0.149 | 0.148 | 0.1437 | 0.1417
BV1p8411s7ow,诺奖得主：我的工作强度从未达到996丨对话诺奖得主！,我會 | 西方 | 物理 | 一個 | 科學 | 說法 | 回答 | 觀點 | 一種 | 科研,0.7023 | 0.1904 | 0.1838 | 0.1804 | 0.1706 | 0.1557 | 0.1194 | 0.1137 | 0.1116 | 0.1099
BV17w4m1Q7Wn,在上海花12块就能给一个男人带来快乐，打工人的快乐很简单,黄瓜 | 一双 | 两张 | 面条 | 干杯 | 朋友 | 小葱 | 再来点 | 好香 | 料理,0.5233 | 0.2512 | 0.2426 | 0.2354 | 0.2237 | 0.1966 | 0.1744 | 0.1744 | 0.1618 | 0.1569
BV1E14y1X7Su,像不像上班时的你,下班 | 注意 | 每天 | 有事 | 几次 | 吃饭 | 下次 | 家里 | 上班 | 小时,0.4465 | 0.4093 | 0.3444 | 0.3041 | 0.2817 | 0.2488 | 0.2488 | 0.2185 | 0.2072 | 0.201
BV1uz4y1A7KD,可可西里网红狼，躺平生活惨遭破坏,大哥 | 脱离 | 网红 | 记忆 | 可怕 | 大街 | 找到 | 大陆 | 火腿 | 早饭,0.2886 | 0.2711 | 0.2711 | 0.2198 | 0.2166 | 0.1462 | 0.1449 | 0.1403 | 0.1403 | 0.1315
BV1n84y1U7d7,10个打工人变态神器，我打算节后偷偷用起来,转化 | 免费 | 生成 | 神奇 | 模板 | 解除 | 轻轻 | 完成 | 半年 | 工具,0.4339 | 0.2143 | 0.2051 | 0.1998 | 0.1684 | 0.1639 | 0.1532 | 0.143 | 0.1429 | 0.1387
BV1T64y1e7vh,本是平平无奇的打工人，爆发起来竟然如此强,清楚 | 走走 | 力量 | 研究 | 里头 | 收尾 | 定位 | 教教 | 人来 | 快要,0.4452 | 0.4176 | 0.3828 | 0.2209 | 0.1803 | 0.1803 | 0.1803 | 0.1742 | 0.169 | 0.1645
BV1af4y1t7sv,【足球的悲哀】欧洲杯为啥没人看了？第一运动真的凉了？,欧洲 | 比赛 | 热度 | 媒体 | 大赛 | 版权 | 解说 | 降低 | 时代 | 运动,0.4846 | 0.2699 | 0.2585 | 0.2205 | 0.1795 | 0.1723 | 0.1293 | 0.1233 | 0.0971 | 0.0958
